epoch,avg_reward,option 0 dur,option 1 dur,option 0 std,option 1 std,option 0 term,option 1 term,option 0 adv,option 1 adv
1,-62.52381759751242,1104,944,1.0,1.0,0.4372853934764862,0.5615575909614563,-0.8105883598327637,0.13500793278217316
2,-61.24463083182158,1064,984,0.9955453872680664,0.9956949949264526,0.5165032744407654,0.46762555837631226,-0.5442840456962585,0.11444795876741409
3,-59.47776237552019,1041,1007,0.9894211888313293,0.987411618232727,0.5100045800209045,0.4394935071468353,-0.43253692984580994,0.09868168085813522
4,-60.285442959707765,836,1212,0.9806355834007263,0.9799103140830994,0.6051794290542603,0.3608199954032898,-0.45033225417137146,0.1083662286400795
5,-62.45306168585678,413,1635,0.9765920042991638,0.9762174487113953,0.6445434093475342,0.14100223779678345,-0.2726205289363861,0.0661713033914566
6,-63.29567625760285,403,1645,0.974096417427063,0.9690466523170471,0.6718286275863647,0.10887835174798965,-0.1721971184015274,0.1142454668879509
7,-63.19146427270839,194,1854,0.9671267867088318,0.9592865705490112,0.6276252865791321,0.036452632397413254,-0.038168635219335556,0.07882339507341385
8,-62.60582006861382,138,1910,0.9663455486297607,0.958612859249115,0.7108785510063171,0.03226563706994057,0.0,0.15727856755256653
9,-62.61097451771913,94,1954,0.9663455486297607,0.9455319046974182,0.6182799935340881,0.016174929216504097,-0.006294139660894871,0.0376807302236557
10,-62.2260307834599,26,2022,0.9532802700996399,0.9436564445495605,0.6564973592758179,0.006675525102764368,0.0,0.00028978887712582946
11,-61.63694585605629,12,2036,0.9532802700996399,0.933941125869751,0.6667653918266296,0.007277896162122488,0.0,0.17731936275959015
12,-61.200117275898855,26,2022,0.9532802700996399,0.9212767481803894,0.6567917466163635,0.003133979858830571,0.0,0.24260304868221283
13,-60.72404140500846,11,2037,0.9532802700996399,0.9085656404495239,0.5249298810958862,0.0024756849743425846,0.0,0.43283993005752563
14,-59.72641366305398,4,2044,0.9532802700996399,0.8964390158653259,0.5300345420837402,0.001061928109265864,0.0,0.5540375113487244
15,-58.90702590895716,9,2039,0.9532802700996399,0.8868359327316284,0.7090029120445251,0.000768883153796196,0.0,0.6556132435798645
16,-58.11761212026673,2,2046,0.9532802700996399,0.8802687525749207,0.6815319061279297,0.0003455917176324874,0.0,0.7543032765388489
17,-57.32053664211856,3,2045,0.9532802700996399,0.8702825903892517,0.6630028486251831,0.00016408719238825142,0.0,0.8296835422515869
18,-56.69033249720687,4,2044,0.9532802700996399,0.8568974733352661,0.6974687576293945,0.00012735337077174336,0.0,0.9111249446868896
19,-56.229217156967934,5,2043,0.9532802700996399,0.848435640335083,0.639813244342804,6.766773731214926e-05,0.0,0.9882405400276184
20,-55.51092811104081,14,2034,0.9532802700996399,0.8348994255065918,0.6982498168945312,3.3993663237197325e-05,0.0,1.0003877878189087
21,-54.80352413424993,14,2034,0.9532802700996399,0.8225816488265991,0.744479775428772,2.1449101041071117e-05,0.0,1.0895246267318726
22,-54.240017245990614,0,2048,1.0,0.809408962726593,0.6752362847328186,1.706274451862555e-05,0.0,1.1867129802703857
23,-53.65114655537822,6,2042,0.9532802700996399,0.8032918572425842,0.7077125310897827,8.653771146782674e-06,0.0,1.2268270254135132
24,-53.03430610411084,7,2041,0.9532802700996399,0.7985989451408386,0.8109808564186096,5.330935437086737e-06,0.0,1.3777446746826172
25,-52.48889695334216,4,2044,0.9532802700996399,0.7832134962081909,0.7506444454193115,2.8092333650420187e-06,0.0,1.4226959943771362
26,-51.844523759605394,1,2047,0.9532802700996399,0.7741364240646362,0.7785674929618835,1.9354054074938176e-06,0.0,1.49411940574646
27,-51.2225222563437,11,2037,0.9532802700996399,0.7611367702484131,0.7739297747612,1.259699388356239e-06,0.0,1.5859191417694092
28,-50.56896087617606,2,2046,0.9532802700996399,0.7551748156547546,0.7716494798660278,8.687252943673229e-07,-0.7027998566627502,1.307768702507019
29,-50.1175940488527,8,2040,0.9383437633514404,0.747230052947998,0.7847657799720764,2.53572829933546e-06,0.0,1.348915934562683
30,-49.445333324744766,4,2044,0.9383437633514404,0.7403256297111511,0.7739149928092957,1.6719252471375512e-06,0.0,1.454213261604309
31,-48.737344372678,5,2043,0.9383437633514404,0.7350967526435852,0.7936080694198608,1.8138314317184268e-06,0.0,1.6453357934951782
32,-48.02384744545337,13,2035,0.9383437633514404,0.7272583246231079,0.8355464935302734,8.593106031185016e-07,0.0,1.93716561794281
33,-47.27985842166405,0,2048,1.0,0.717990517616272,0.807689368724823,9.702171155367978e-07,0.0,1.9923837184906006
34,-46.55380136742499,3,2045,0.9383437633514404,0.7076610922813416,0.7942022085189819,1.0405715329397935e-06,0.0,1.994934320449829
35,-45.89368832989026,1,2047,0.9383437633514404,0.7048674821853638,0.7890912890434265,6.626044068980264e-07,0.0,2.0970401763916016
36,-45.067315369451606,3,2045,0.9383437633514404,0.6961929202079773,0.8392944931983948,4.969184033143392e-07,0.0,2.231171131134033
37,-44.271635053492105,3,2045,0.9383437633514404,0.6874406337738037,0.8212822079658508,6.83824453062698e-07,0.0,2.2708213329315186
38,-43.426741794402915,3,2045,0.9383437633514404,0.6785801649093628,0.8295876979827881,1.0937569641100708e-06,0.0,2.373129367828369
39,-42.67117858286339,10,2038,0.9383437633514404,0.665617823600769,0.8327538371086121,3.463960069893801e-07,0.0,2.5532424449920654
40,-41.93770453884742,8,2040,0.9383437633514404,0.6568673253059387,0.7985811829566956,4.283454586584412e-07,0.0,2.6728224754333496
41,-41.14653824784432,6,2042,0.9383437633514404,0.65190589427948,0.7963510155677795,2.4077050397863786e-07,0.0,2.875971555709839
42,-40.064375163632256,2,2046,0.9383437633514404,0.6438894271850586,0.7659695148468018,2.794025135699485e-07,0.0,2.824108362197876
43,-39.384536275041576,0,2048,1.0,0.6395292282104492,0.7936065196990967,3.081515842495719e-07,0.0,2.897174835205078
44,-38.62271589964221,0,2048,1.0,0.6294611096382141,0.8101043701171875,2.079233070162445e-07,0.0,2.9722869396209717
45,-37.805835764004094,0,2048,1.0,0.6214621663093567,0.7932058572769165,4.433955780314136e-07,0.0,3.0167298316955566
46,-36.9016737874132,2,2046,0.9383437633514404,0.6097201108932495,0.7968838214874268,1.9118002114737465e-07,0.0,3.2460851669311523
47,-35.995698149490515,0,2048,1.0,0.6014580726623535,0.7942463159561157,2.7602925456449157e-07,0.0,3.414231777191162
48,-35.11977957723963,10,2038,0.9383437633514404,0.5893775820732117,0.7904985547065735,2.6711572331805655e-07,0.0,3.6492013931274414
49,-34.276677401115165,0,2048,1.0,0.58302903175354,0.7582767009735107,1.236262789916509e-07,0.0,3.908303737640381
50,-32.650297820117224,4,2044,0.9383437633514404,0.5755453109741211,0.7546674609184265,2.0069518313903245e-07,0.0,4.121090412139893
51,-31.12410033269525,16,2032,0.9383437633514404,0.5660130977630615,0.7467595934867859,1.6736798613692372e-07,0.0,4.504523277282715
52,-29.657282520854864,0,2048,1.0,0.560520589351654,0.772528350353241,2.036608890421121e-07,0.0,4.8196120262146
53,-28.03922705992977,3,2045,0.9383437633514404,0.5523254871368408,0.7687099575996399,1.4120048774657334e-07,0.0,4.874460220336914
54,-26.115236348564373,2,2046,0.9383437633514404,0.5452088713645935,0.757962703704834,9.879167350845819e-08,0.0,4.958041191101074
55,-24.248999576661,5,2043,0.9383437633514404,0.5381988883018494,0.7796082496643066,8.10878120205416e-08,0.0,5.223331928253174
56,-22.431750717291678,1,2047,0.9383437633514404,0.5296899676322937,0.803557276725769,5.012343251564744e-08,0.0,5.528012752532959
57,-20.758261553629364,0,2048,1.0,0.5224672555923462,0.7625365853309631,1.7695748510959675e-07,0.0,5.2671122550964355
58,-18.90714081537262,2,2046,0.9383437633514404,0.518744945526123,0.7722014784812927,4.217178783960662e-08,0.0,5.360298156738281
59,-17.215038546006134,4,2044,0.9383437633514404,0.5122181177139282,0.7639480829238892,1.9572971154957486e-07,0.0,5.545795917510986
60,-15.338615104303843,4,2044,0.9383437633514404,0.5066627860069275,0.7647451162338257,4.861496805119714e-08,0.0,5.84130334854126
61,-13.523087550682144,0,2048,1.0,0.5004833936691284,0.7525887489318848,3.148204896774587e-08,0.0,6.007978916168213
62,-11.569204742071607,1,2047,0.9383437633514404,0.49382174015045166,0.758018434047699,4.79483723836438e-08,0.0,6.132231712341309
63,-8.90799325284632,1,2047,0.9383437633514404,0.49006250500679016,0.7631279826164246,7.600455376177706e-08,0.0,6.197759628295898
64,-7.08010062651169,4,2044,0.9383437633514404,0.48601236939430237,0.7722344994544983,6.934805441005665e-08,0.0,6.503307342529297
65,-5.23608537211779,6,2042,0.9383437633514404,0.4814813435077667,0.7851856350898743,7.4741812738921e-08,0.0,7.172321319580078
66,-3.457853535407347,4,2044,0.9383437633514404,0.48059025406837463,0.759376049041748,3.7472624114798236e-08,0.0,7.432507038116455
67,-1.6487539931355104,2,2046,0.9383437633514404,0.4763129651546478,0.7661775946617126,2.9441856952416856e-08,0.0,7.519321918487549
68,0.21033297273806972,3,2045,0.9383437633514404,0.47052696347236633,0.7696223855018616,2.2122886633724193e-08,0.0,7.4954328536987305
69,2.2606862964918384,19,2029,0.9383437633514404,0.46164605021476746,0.7872167229652405,9.276067203245475e-08,-0.9762744903564453,6.836455821990967
70,4.186528131266779,9,2039,0.9209192395210266,0.45974230766296387,0.7731440663337708,7.233646556414897e-06,0.0,7.1887407302856445
71,6.075213314060181,12,2036,0.9209192395210266,0.4596561789512634,0.7661287784576416,2.635719738464104e-06,0.0,7.499850273132324
72,7.960283667922564,5,2043,0.9209192395210266,0.4593556821346283,0.7758718132972717,3.314070227133925e-06,0.0,7.4437174797058105
73,9.76756066178592,25,2023,0.9209192395210266,0.4535161554813385,0.781095564365387,8.681180929670518e-07,0.0,7.819733619689941
74,11.542726887406802,13,2035,0.9209192395210266,0.45469051599502563,0.7609112858772278,1.3071395414954168e-06,0.0,8.437501907348633
75,13.334265311596761,17,2031,0.9209192395210266,0.4526855945587158,0.7799245715141296,4.416095293890976e-07,0.0,8.956398963928223
76,15.269334852181137,11,2037,0.9209192395210266,0.44644689559936523,0.7554731369018555,1.0052230692281228e-07,0.0,9.664068222045898
77,17.06450343561048,3,2045,0.9209192395210266,0.44555947184562683,0.7872989773750305,2.5957194793591043e-07,0.0,9.89555835723877
78,19.0888019303751,6,2042,0.9209192395210266,0.44166868925094604,0.8066579699516296,7.342357832840207e-08,0.0,10.123266220092773
79,20.98426949359518,3,2045,0.9209192395210266,0.43911221623420715,0.7989478707313538,1.5316032886403264e-07,0.0,9.96683120727539
80,22.77023098674345,3,2045,0.9209192395210266,0.43695810437202454,0.7972108125686646,8.017175190389025e-08,0.0,9.665223121643066
81,24.59563122565035,9,2039,0.9209192395210266,0.4347764253616333,0.7928528785705566,1.8706371562871027e-08,0.0,9.809556007385254
82,26.449108642477032,2,2046,0.9209192395210266,0.43227025866508484,0.789126992225647,8.771118942263456e-09,0.0,9.759507179260254
83,28.312822232889175,2,2046,0.9209192395210266,0.4301172196865082,0.7974714040756226,4.290346300450665e-09,0.0,9.799894332885742
84,30.889090299099976,6,2042,0.9209192395210266,0.4305482506752014,0.7865517735481262,1.4066910303256464e-08,0.0,9.6011962890625
