epoch,avg_reward,option 0 dur,option 1 dur,option 0 std,option 1 std,option 0 term,option 1 term,option 0 adv,option 1 adv
1,1.2731313571112644,1121,927,1.0,1.0,0.42010945081710815,0.6797766089439392,0.3743707239627838,0.07964193820953369
2,1.5235866327986878,1077,971,0.9915000200271606,1.0254994630813599,0.4858660399913788,0.48016926646232605,0.005935081746429205,-0.03942758962512016
3,1.9385876382929745,1223,825,0.9906871318817139,1.035402536392212,0.5072142481803894,0.42397603392601013,0.05954272672533989,-0.007161896210163832
4,3.6858196456947394,1316,732,0.9716752767562866,1.0295723676681519,0.33156824111938477,0.40464168787002563,0.31005504727363586,0.05616888403892517
5,6.572990648606578,1856,192,0.9610779285430908,1.0309678316116333,0.1602189540863037,0.38957223296165466,0.3254922032356262,-0.4217095673084259
6,9.28901334003266,1914,134,0.9538151621818542,1.0225536823272705,0.10875141620635986,0.43162721395492554,0.25623753666877747,0.0
7,12.08072134430123,1932,116,0.9509485363960266,1.0220829248428345,0.05034751817584038,0.5212906002998352,0.6090844869613647,-0.5808817148208618
8,14.477132771955956,1980,68,0.9447085857391357,1.0074505805969238,0.016453182324767113,0.580083429813385,0.9548228979110718,0.0
9,16.875156310136383,2025,23,0.9389466643333435,1.0071629285812378,0.006484836805611849,0.5925137996673584,1.5405926704406738,0.0
10,18.67763081307265,2048,0,0.9311015605926514,1.0,0.0020158716943114996,0.5807037949562073,1.8594245910644531,0.0
11,20.166686163142632,2018,30,0.9317359924316406,1.0071629285812378,0.0012359669199213386,0.5690450668334961,1.9861866235733032,0.0
12,21.359417068990798,2031,17,0.932054877281189,1.0071629285812378,0.0006964274798519909,0.5873709321022034,2.1682610511779785,0.0
13,22.28770532198099,2019,29,0.9250926971435547,1.0071629285812378,0.0008254356798715889,0.5741734504699707,2.365424871444702,-1.5343029499053955
14,22.938243521743598,2005,43,0.9137710332870483,1.002488613128662,0.00014434345939662308,0.6068140268325806,2.8489627838134766,0.0
15,23.502036889567357,1986,62,0.9005781412124634,1.0022865533828735,0.000181014314875938,0.6023820042610168,3.053649425506592,0.0
16,24.128347946436424,1980,68,0.900650680065155,1.0022865533828735,0.00014124343579169363,0.5828489065170288,3.302003860473633,-0.28282469511032104
17,24.4116797269797,1695,353,0.898604154586792,0.98476243019104,0.0003156612510792911,0.6188994646072388,3.0605242252349854,-0.6248525381088257
18,25.311214444680004,1921,127,0.8704158663749695,0.9843384623527527,2.73244204436196e-05,0.8029776811599731,4.287317752838135,0.0
19,26.067322812875524,1949,99,0.8638624548912048,0.9845077991485596,1.4054038729227614e-05,0.8109055757522583,4.448246479034424,-0.1403747946023941
20,27.059110304772517,1883,165,0.8605563640594482,0.972022533416748,8.442484613624401e-06,0.8484510183334351,4.605939865112305,-0.07495570182800293
21,28.13426649521879,1834,214,0.861346960067749,0.9589511156082153,8.826608791423496e-06,0.8416363596916199,4.397210597991943,-0.14330536127090454
22,29.247548372268565,1867,181,0.8381931781768799,0.9591432213783264,3.2799894142954145e-06,0.8912672400474548,4.299250602722168,-0.0794311910867691
23,30.947388225718914,1893,155,0.8198204040527344,0.9651479721069336,1.7013545630106819e-06,0.8906921148300171,4.133763313293457,0.0
24,32.10893867126314,1932,116,0.814224898815155,0.9658864140510559,1.1974483413723647e-06,0.8947775959968567,4.268772125244141,-0.31422656774520874
25,33.33705742159464,1990,58,0.8051090240478516,0.958605170249939,6.780692274332978e-07,0.9667928814888,4.4399542808532715,0.0
26,34.320074136890995,2006,42,0.7917749881744385,0.9584220051765442,4.762068215313775e-07,0.9646447896957397,4.692684650421143,0.0
27,35.41502688734653,2007,41,0.7856892347335815,0.9584220051765442,3.0153566399349074e-07,0.9655416011810303,5.237420558929443,0.0
28,35.979731124239784,1959,89,0.7851137518882751,0.9584220051765442,1.6787699053111282e-07,0.9735682010650635,5.477871417999268,-0.3779390752315521
29,36.671398159762646,1928,120,0.7799509167671204,0.9314154386520386,6.593884194217026e-08,0.9696833491325378,5.573068141937256,0.0
30,37.35869529007514,1916,132,0.7877868413925171,0.9302027225494385,3.4516272506834866e-08,0.9691678881645203,5.99424934387207,-0.07089119404554367
31,37.803376734551115,1853,195,0.7782682776451111,0.9123591184616089,2.4122462249920318e-08,0.9755986928939819,6.483423709869385,-0.052221912890672684
32,38.31917019681824,1867,181,0.781539797782898,0.9089658260345459,3.271383874903222e-08,0.9700836539268494,6.762632369995117,-0.043171949684619904
33,38.93267876184241,1860,188,0.7773261666297913,0.9103168249130249,3.2887175649420897e-08,0.9135327935218811,6.7515692710876465,-0.07467541098594666
34,39.432455453244465,1847,201,0.7767140865325928,0.9081196784973145,4.220864013859682e-08,0.7875441312789917,7.2816596031188965,-0.051845259964466095
35,40.02792256402221,1669,379,0.764244794845581,0.9135503768920898,4.2484160189815157e-08,0.6772730350494385,7.355807304382324,-0.5305106043815613
36,40.81750145306407,1887,161,0.7587094306945801,0.9165012836456299,3.4042802354861124e-08,0.9436957836151123,7.278552532196045,-0.032511766999959946
37,41.4832939740094,1907,141,0.7525225877761841,0.9066542983055115,3.862743369609234e-08,0.8960636854171753,6.758509159088135,0.0
38,42.2564589864104,1892,156,0.7494692802429199,0.9057537317276001,3.5618139548887484e-08,0.8994460105895996,6.938559532165527,-0.09645359963178635
39,43.01484142492659,1979,69,0.7385732531547546,0.9068201780319214,3.8388925815979746e-08,0.8893558979034424,6.764848709106445,0.0
40,43.6150561644886,1936,112,0.7357079386711121,0.907128095626831,2.9651818778120287e-08,0.892285943031311,7.202901363372803,-0.09438285231590271
41,44.604314663644324,1974,74,0.725103497505188,0.8900911211967468,2.1898468816061722e-08,0.8939508199691772,7.647087097167969,0.0
42,45.10088909458247,1949,99,0.7166072726249695,0.8894212245941162,2.885730232549122e-08,0.8743783235549927,7.826191425323486,-0.03831068426370621
43,45.89929704292915,1868,180,0.7188161611557007,0.8786816000938416,2.8009331742850918e-08,0.7652556896209717,8.027884483337402,-0.153187558054924
44,46.845338325808754,1927,121,0.7144109010696411,0.8809918761253357,2.6551788323558867e-08,0.7924506664276123,6.952348709106445,0.0
45,47.52217206849427,1937,111,0.7122318148612976,0.8810398578643799,3.762836797704949e-08,0.8164534568786621,7.516911506652832,-0.17644761502742767
46,48.632028221374455,1988,60,0.7109941840171814,0.8675559163093567,2.0937250155839138e-08,0.933719277381897,7.809879779815674,0.0
47,49.592134899349276,1972,76,0.7061288952827454,0.8669794797897339,2.3687283245976687e-08,0.9425371289253235,8.008477210998535,0.0
48,51.13585707549018,1962,86,0.7063631415367126,0.8669794797897339,2.3470690280191775e-08,0.9531736373901367,8.9639892578125,-0.055827029049396515
49,51.980274110346315,1944,104,0.6986651420593262,0.8542510271072388,1.594021803441592e-08,0.873931884765625,8.93089771270752,0.0
50,53.347204083871574,1944,104,0.6935030221939087,0.8533104658126831,2.0009029100265252e-08,0.8787758946418762,9.938373565673828,-0.025791427120566368
51,54.386099726101655,1826,222,0.6849538087844849,0.8390739560127258,1.0075572376422315e-08,0.7556461095809937,9.172815322875977,-0.013002862222492695
52,56.21858609334513,1809,239,0.6893783807754517,0.8382229208946228,1.8836342263739425e-08,0.7564701437950134,9.635416030883789,-0.10324966162443161
53,57.28724321206761,1900,148,0.6892357468605042,0.8326457142829895,1.0332114719346919e-08,0.838514506816864,9.877285957336426,0.0
54,58.381198657049914,1859,189,0.6877003312110901,0.8321028351783752,6.890631620848353e-09,0.8491733074188232,10.46297836303711,-0.060496266931295395
55,59.26829783526343,1872,176,0.6833727955818176,0.826577365398407,5.481229692350098e-09,0.8264853358268738,9.99419116973877,-0.058993250131607056
56,59.89037179151553,1878,170,0.6779917478561401,0.8250625133514404,1.8281197000646898e-08,0.7979876399040222,9.964245796203613,-0.0788392722606659
57,60.40584289464803,1895,153,0.666752815246582,0.8228906989097595,4.339846704226602e-09,0.8585919141769409,10.390296936035156,0.0
58,61.08430919510203,1838,210,0.6572401523590088,0.8227449655532837,6.173558553257408e-09,0.8435974717140198,9.776512145996094,-0.04911306872963905
59,61.529124809255,1868,180,0.6570857167243958,0.8225310444831848,5.539598113557531e-09,0.7902885675430298,9.76127815246582,-0.06685498356819153
60,62.525761265243965,1791,257,0.6608462929725647,0.8209857940673828,5.4155004924894e-09,0.7634792327880859,9.711953163146973,0.01824342831969261
